chrom,start,end,sample,gt,gt_name,supporting_sites,sites,DP,switches
I,1,15072434,ECA575,2,CB4856,7511,8205,1.40340833444,1162
II,1,15279421,ECA575,2,CB4856,12903,14122,1.45656048981,1882
III,1,13783801,ECA575,2,CB4856,6656,7333,1.43299278846,1052
IV,1,1020726,ECA575,2,CB4856,162,173,1.44444444444,22
IV,1020727,13465847,ECA575,1,N2,6176,6214,1.4692357513,48
IV,13465848,15467217,ECA575,2,CB4856,1645,1793,1.34285714286,254
IV,15467218,17493829,ECA575,1,N2,1535,1542,1.40260586319,14
V,1,3423386,ECA575,2,CB4856,4633,5059,1.45672350529,664
V,3423387,3423878,ECA575,1,N2,20,23,1.65,2
V,3423879,20924180,ECA575,2,CB4856,20842,22608,1.47941656271,2630
X,1,17718942,ECA575,2,CB4856,8186,8778,1.51197165893,1058
MtDNA,1,13794,ECA575,2,CB4856,38,38,1.5,0
I,1,15072434,ECA597,1,N2,7828,7866,1.33840061318,74
II,1,15279421,ECA597,1,N2,13467,13512,1.36645132546,82
III,1,13783801,ECA597,1,N2,7460,7478,1.31139410188,32
IV,1,4372148,ECA597,1,N2,2858,2872,1.33344996501,28
IV,4372149,9520833,ECA597,2,CB4856,1546,1712,1.36028460543,272
IV,9520834,17493829,ECA597,1,N2,4155,4170,1.34271961492,30
V,1,20924180,ECA597,1,N2,27193,27272,1.37627330563,138
X,1,17718942,ECA597,1,N2,7890,7912,1.40659062104,42
MtDNA,1,13794,ECA597,1,N2,38,38,1.60526315789,0
I,1,2329375,ECA599,2,CB4856,1782,1982,1.40067340067,294
I,2329376,2333203,ECA599,1,N2,30,30,1.16666666667,0
I,2333204,15072434,ECA599,2,CB4856,7099,7646,1.4633046908,910
II,1,15279421,ECA599,2,CB4856,14778,15910,1.48646636893,1784
III,1,13783801,ECA599,2,CB4856,8040,8742,1.4986318408,1062
IV,1,3724457,ECA599,2,CB4856,2462,2677,1.40048740861,366
IV,3724458,9160974,ECA599,1,N2,2972,2993,1.53499327052,22
IV,9160975,17493829,ECA599,2,CB4856,4910,5261,1.44949083503,602
V,1,16191628,ECA599,2,CB4856,19352,20637,1.5634042993,2004
V,16191629,16192471,ECA599,1,N2,16,16,1.6875,0
V,16192472,16849030,ECA599,2,CB4856,1875,2041,1.37493333333,222
V,16849031,16849345,ECA599,1,N2,17,17,1.11764705882,0
V,16849346,20924180,ECA599,2,CB4856,7609,8270,1.50203706137,920
X,1,17718942,ECA599,2,CB4856,9031,9639,1.58897132101,1069
MtDNA,1,13794,ECA599,2,CB4856,38,38,1.73684210526,0
I,1,15072434,ECA232,1,N2,2898,2991,1.47481021394,152
II,1,2251085,ECA232,1,N2,1115,1208,1.4600896861,68
II,2251086,2258255,ECA232,2,CB4856,21,23,1.04761904762,4
II,2258256,15279421,ECA232,1,N2,2832,3020,1.36228813559,246
III,1,13783801,ECA232,1,N2,2411,2550,1.48029863127,174
IV,1,6275928,ECA232,1,N2,1120,1174,1.52410714286,84
IV,6275929,6276271,ECA232,2,CB4856,15,15,1.26666666667,0
IV,6276272,7453961,ECA232,1,N2,142,154,1.43661971831,18
IV,7453962,7459213,ECA232,2,CB4856,12,12,1.33333333333,0
IV,7459214,17493829,ECA232,1,N2,1293,1357,1.19644238206,86
V,1,7374927,ECA232,1,N2,2985,3105,1.5149078727,146
V,7374928,7661339,ECA232,2,CB4856,316,372,1.20253164557,38
V,7661340,7667157,ECA232,1,N2,24,24,3.41666666667,0
V,7667158,13678801,ECA232,2,CB4856,437,507,1.53546910755,112
V,13678802,16175197,ECA232,1,N2,993,1005,1.12789526687,18
V,16175198,16176755,ECA232,2,CB4856,32,32,1.21875,0
V,16176756,16179536,ECA232,1,N2,15,15,35.2666666667,0
V,16179537,16179967,ECA232,2,CB4856,14,15,1,2
